data_format,humidity,temperature,pressure,acceleration,acceleration_x,acceleration_y,acceleration_z,tx_power,battery,movement_counter,measurement_sequence_number,mac,date
5,51.38,22.14,823.18,1009.3839705483737,26,-46,1008,4,2359,0,123,DD:51:1E:E1:15:D4,Sat May  7 13:50:07 2022
5,51.34,22.12,823.18,1015.2950310131533,18,-48,1014,4,2359,0,124,DD:51:1E:E1:15:D4,Sat May  7 13:50:10 2022
5,51.42,22.12,823.18,1014.9226571517654,24,-36,1014,4,2029,0,125,DD:51:1E:E1:15:D4,Sat May  7 13:50:13 2022
5,51.33,22.09,823.18,1015.1925925655684,22,-44,1014,4,2029,0,126,DD:51:1E:E1:15:D4,Sat May  7 13:50:15 2022
5,51.26,22.11,823.18,1019.0250242265888,18,-42,1018,4,2029,0,127,DD:51:1E:E1:15:D4,Sat May  7 13:50:18 2022
5,51.41,22.11,823.18,1019.0623140907527,20,-42,1018,4,2029,0,128,DD:51:1E:E1:15:D4,Sat May  7 13:50:22 2022
5,51.27,22.11,823.18,1015.044826596343,26,-38,1014,4,2029,0,129,DD:51:1E:E1:15:D4,Sat May  7 13:50:25 2022
5,51.16,22.11,823.18,1008.9142679137807,20,-38,1008,4,2029,0,130,DD:51:1E:E1:15:D4,Sat May  7 13:50:28 2022
5,51.17,22.1,823.18,1014.8714204272381,18,-38,1014,4,2029,0,131,DD:51:1E:E1:15:D4,Sat May  7 13:50:31 2022
5,51.15,22.07,823.18,1018.763956959609,20,-34,1018,4,2029,0,132,DD:51:1E:E1:15:D4,Sat May  7 13:50:34 2022
5,51.17,22.11,823.18,1007.0034756643097,16,-42,1006,4,2029,0,133,DD:51:1E:E1:15:D4,Sat May  7 13:50:37 2022
5,51.17,22.11,823.18,1012.9106574619501,20,-38,1012,4,2029,0,134,DD:51:1E:E1:15:D4,Sat May  7 13:50:39 2022
5,51.14,22.14,823.18,1007.1603645894729,20,-44,1006,4,2029,0,135,DD:51:1E:E1:15:D4,Sat May  7 13:50:43 2022
5,51.08,22.1,823.18,1011.159730210811,30,-38,1010,4,2029,0,136,DD:51:1E:E1:15:D4,Sat May  7 13:50:46 2022
5,51.0,22.11,823.18,1014.9088629034628,20,-38,1014,4,2029,0,137,DD:51:1E:E1:15:D4,Sat May  7 13:50:49 2022
5,51.07,22.08,823.18,1008.9281441212748,24,-36,1008,4,2029,0,138,DD:51:1E:E1:15:D4,Sat May  7 13:50:52 2022
5,51.08,22.1,823.18,1008.8131640695417,22,-34,1008,4,2029,0,139,DD:51:1E:E1:15:D4,Sat May  7 13:50:55 2022
5,50.92,22.09,823.18,1012.9975320799158,24,-38,1012,4,2029,0,140,DD:51:1E:E1:15:D4,Sat May  7 13:50:58 2022
5,50.88,22.09,823.18,1017.0644030738663,20,-42,1016,4,2029,0,141,DD:51:1E:E1:15:D4,Sat May  7 13:51:01 2022
5,50.89,22.09,823.18,1012.9106574619501,20,-38,1012,4,2029,0,142,DD:51:1E:E1:15:D4,Sat May  7 13:51:04 2022
5,51.01,22.09,823.18,1009.3661377319927,16,-50,1008,4,2029,0,143,DD:51:1E:E1:15:D4,Sat May  7 13:51:07 2022
5,51.02,22.11,823.18,1011.0311567899379,22,-40,1010,4,2029,0,144,DD:51:1E:E1:15:D4,Sat May  7 13:51:10 2022
5,51.02,22.08,823.18,1018.9465147886812,22,-38,1018,4,2074,0,145,DD:51:1E:E1:15:D4,Sat May  7 13:51:12 2022
5,51.06,22.07,823.18,1014.9502450859352,22,-38,1014,4,2074,0,146,DD:51:1E:E1:15:D4,Sat May  7 13:51:16 2022
5,51.15,22.11,823.18,1015.0665002845873,20,-42,1014,4,2074,0,147,DD:51:1E:E1:15:D4,Sat May  7 13:51:19 2022
5,51.7,22.08,823.18,1013.1100631224625,22,-42,1012,4,2074,0,148,DD:51:1E:E1:15:D4,Sat May  7 13:51:22 2022
5,52.0,22.09,823.18,1014.9088629034628,20,-38,1014,4,2074,0,149,DD:51:1E:E1:15:D4,Sat May  7 13:51:25 2022
5,51.9,22.09,823.18,1012.9876603394534,20,-40,1012,4,2074,0,150,DD:51:1E:E1:15:D4,Sat May  7 13:51:27 2022
5,51.95,22.09,823.18,1011.0311567899379,22,-40,1010,4,2074,0,151,DD:51:1E:E1:15:D4,Sat May  7 13:51:31 2022
5,52.05,22.08,823.18,1011.2071993414604,26,-42,1010,4,2074,0,152,DD:51:1E:E1:15:D4,Sat May  7 13:51:33 2022
